CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Face-to-Face,Unknown / Data Issue,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Home Visit,1 Day,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Home Visit,2 to 7 Days,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Home Visit,Same Day,7
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,1 Day,67
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,2 to 7 Days,54
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,8  to 14 Days,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,More than 28 Days,1
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,Same Day,156
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,1 Day,208
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,391
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,919
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,201
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,482
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,More than 28 Days,260
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,Same Day,228
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,1 Day,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,2 to 7 Days,8
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,More than 28 Days,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,Same Day,39
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Face-to-Face,15  to 21 Days,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Face-to-Face,22  to 28 Days,2
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Face-to-Face,8  to 14 Days,5
00Q,E38000014,NHS Blackburn with Darwen CCG,E54000048,Healthier Lancashire And South Cumbria  STP,E39000040,NHS England North West (Lancashire and South Cumbria),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Face-to-Face,More than 28 Days,5
