CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,1 Day,36
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,15  to 21 Days,8
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,2 to 7 Days,77
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,22  to 28 Days,3
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,8  to 14 Days,11
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,More than 28 Days,4
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,GP,Telephone,Same Day,66
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,1 Day,123
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,241
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,518
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,157
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,404
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,More than 28 Days,191
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Face-to-Face,Same Day,165
